ABBREV	DEGREE	US_UNIVERSITY	GENDER	PREVIOUS_DEGREE	COLOMBIAN_UNIVERSITY
REG	Ph.D.	Iowa State University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	Ph.D.	Washington State University	MALE	BACHELOR	UNIVERSIDAD TECNOLOGICA DE BOLIVAR
REG	Ph.D.	University of Wisconsin - Madison	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
SRM	MASTER'S	Brandeis University	MALE	BACHELOR	UNIVERSIDAD EAFIT-
DU	Ph.D.	University of California, Riverside	FEMALE	BACHELOR	UNIVERSIDAD DE ANTIOQUIA
DU	Ph.D.	University of Arizona	MALE	BACHELOR	UNIVERSIDAD DEL CAUCA
JWF	Ph.D.	Syracuse University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC-DNP	Ph.D.	University of Illinois at Chicago	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-CLC	MASTER'S	San Diego State University	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	Ph.D.	University of California - Los Angeles	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	MASTER'S	University of Missouri - St Louis	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	MASTER'S	University of Maryland - College Park	FEMALE	BACHELOR	UNIVERSIDAD ESTATAL DE MOSCU
REG	Ph.D.	Cornell University	FEMALE	BACHELOR	UNIVERSIDAD DE ANTIOQUIA
REG	Ph.D.	University of Wisconsin - Madison	FEMALE	BACHELOR	UNIVERSIDAD PEDAGOGICA NACIONAL
CLC-DNP	Ph.D.	University of Miami	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
CLC-DNP	Ph.D.	The New School	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
CLC-DNP	MASTER'S	Ohio University - Main Campus	MALE	BACHELOR	UNIVERSIDAD DE ANTIOQUIA
CLC-DNP	Ph.D.	Indiana University Bloomington	FEMALE	BACHELOR	UNIVERSIDAD DEL VALLE
JWF	MASTER'S	Columbia University in the City of New York	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
CLC-DNP	MASTER'S	Temple University	MALE	BACHELOR	UNIVERSIDAD EXTERNADO DE COLOMBIA
SRM	MASTER'S	Georgetown University	MALE	BACHELOR	UNIVERSIDAD PONTIFICIA BOLIVARIANA
CLC-DNP	Ph.D.	Arizona State University	MALE	BACHELOR	UNIVERSIDAD PONTIFICIA BOLIVARIANA
DU	MASTER'S	Georgetown University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
DU	MASTER'S	Georgetown University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
DU	Ph.D.	University of Florida	MALE	BACHELOR	UNIVERSIDAD EXTERNADO DE COLOMBIA
JWF	MASTER'S	University of Pittsburgh - Main Campus	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
DU	MASTER'S	University of Kansas	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
SRM	MASTER'S	Iowa State University	MALE	BACHELOR	UNIVERSIDAD EAFIT-
SRM	MASTER'S	SUNY at Albany	MALE	BACHELOR	UNIVERSIDAD EAFIT-
REG	Ph.D.	University of Missouri - Kansas City	MALE	BACHELOR	UNIVERSIDAD DEL NORTE
DU	Ph.D.	Rutgers, The State University of New Jersey	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
SRM	MASTER'S	Georgia Institute of Technology - Main Campus	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
DU	Ph.D.	University of California - San Diego	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of Maryland - College Park	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	Ph.D.	Washington State University	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
CLC-DNP	Ph.D.	Georgia Institute of Technology - Main Campus	MALE	BACHELOR	UNIVERSIDAD DEL QUINDIO
DU	MASTER'S	University of Oregon	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
REG	MASTER'S	University of Louisville	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
