ABBREV.	DEGREE	GENERAL_ACADEMIC_AREA	US_UNIVERSITY	US_CITY	GENDER	COLOMBIAN_CITY	PREVIOUS_DEGREE	FIELD _OF_STUDY	COLOMBIAN_UNIVERSITY
HHH	INV & DOC	HUMANITIES & SOCIAL SCIENCES	Massachusetts Institute of Technology	CAMBRIDGE	FEMALE	BOGOTA D.C.	BACHELOR	PSICOLOGIA	UNIVERSIDAD SANTO TOMAS
HHH	INV & DOC	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Johns Hopkins University	BALTIMORE	FEMALE	BOGOTA D.C.	BACHELOR	PSICOLOGIA	UNIVERSIDAD DE LOS ANDES
JWF	Ph.D.	EDUCATION	University of Pittsburgh - Main Campus	PITTSBURGH	MALE	BOGOTA D.C.	BACHELOR	PSICOLOGIA	UNIVERSIDAD DEL VALLE
HHH	INV & DOC	EDUCATION	Pennsylvania State University	UNIVERSITY PARK	FEMALE	BOGOTA D.C.	BACHELOR	PSICOLOGIA	UNIVERSIDAD DE LOS ANDES
FLB-LSP	MASTER'S	EDUCATION	University of Illinois at Chicago	CHICAGO	MALE	BOGOTA D.C.	BACHELOR	PSICOLOGIA	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Naropa University	BOULDER	FEMALE	BOGOTA D.C.	BACHELOR	PSICOLOGIA	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Syracuse University	SYRACUSE	FEMALE	BOGOTA D.C.	BACHELOR	PSICOLOGIA	UNIVERSIDAD NACIONAL DE COLOMBIA
DU	Ph.D.	HUMANITIES & SOCIAL SCIENCES	City College of New York of the City University of New York, The	NEW YORK	MALE	BOGOTA D.C.	BACHELOR	PSICOLOGIA	UNIVERSIDAD CATOLICA DE COLOMBIA
FLB-LSP	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Loyola University of Chicago	CHICAGO	FEMALE	CARTAGENA	BACHELOR	PSICOLOGIA	UNIVERSIDAD DEL NORTE
FLB-LSP	MASTER'S	HUMANITIES & SOCIAL SCIENCES	University of Hawaii at Manoa	MANOA	MALE	MANIZALES	BACHELOR	PSICOLOGIA	UNIVERSIDAD DE LOS ANDES
FLB-LSP	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Ohio University - Main Campus	ATHENS	MALE	MANIZALES	BACHELOR	PSICOLOGIA	UNIVERSIDAD DE MANIZALES
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Northeastern University	BOSTON	FEMALE	SANTA MARTA	BACHELOR	PSICOLOGIA	
HHH	INV & DOC	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Indiana University Bloomington	BLOOMINGTON	FEMALE	BUCARAMANGA	BACHELOR	PSICOLOGIA	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	EDUCATION	Boston University	BOSTON	FEMALE		BACHELOR	PSICOLOGIA EDUCACTIVA	UNIVERSIDAD DE LA SABANA
CLC- FLB	PH.D.	HUMANITIES & SOCIAL SCIENCES	Fordham University		MALE	PEREIRA	BACHELOR	PSYCHOLOGY	UNIVERSIDAD DEL VALLE
LID	MASTER'S	HUMANITIES & SOCIAL SCIENCES	University of Illinois at Chicago	CHICAGO	FEMALE	CALI	BACHELOR	PSYCHOLOGY, GENERAL	PONTIFICIA UNIVERSIDAD JAVERIANA
PETRO	MASTER'S	EDUCATION	Oregon State University	CORVALLIS	FEMALE	BUCARAMANGA	BACHELOR	PSYCHOLOGY, GENERAL	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	PH.D.	HUMANITIES & SOCIAL SCIENCES	Purdue University	WEST LAFAYETTE	MALE	BOGOTA	BACHELOR	PSYCHOLOGY, GENERAL	UNIVERSIDAD NACIONAL DE COLOMBIA
HHH	INV & DOC	HUMANITIES & SOCIAL SCIENCES	UNIVERSITY OF MINNESOTA - TWIN CITIES	TWIN CITIES	MALE	BOGOTA	BACHELOR	PUBLIC ADMINISTRATION	ESCUELA NACIONAL DE POLICIA GENERAL SANTANDER
HHH	INV & DOC	BUSINESS ADMINISTRATION & MANAGEMENT	Boston University	BOSTON	MALE	BOGOTA D.C.	BACHELOR	PUBLICIDAD Y MERCADEO	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
ATG	MASTER'S	PHYSICAL SCIENCES & MATHEMATICS	Oregon State University	CORVALLIS	FEMALE		BACHELOR	QUIMICA	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-LSP	MASTER'S	PHYSICAL SCIENCES & MATHEMATICS	SUNY College of Environmental Science and Forestry	SYRACUSE	MALE		BACHELOR	QUIMICA	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-LSP	MASTER'S	PHYSICAL SCIENCES & MATHEMATICS	SUNY at Buffalo	BUFFALO	MALE		BACHELOR	QUIMICA	UNIVERSIDAD DE ANTIOQUIA
FLB-LSP	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	SUNY College of Environmental Science and Forestry	SYRACUSE	MALE	BUCARAMANGA	BACHELOR	QUIMICA	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	PHYSICAL SCIENCES & MATHEMATICS	University of Iowa	IOWA CITY	FEMALE		BACHELOR	QUIMICA	UNIVERSIDAD PEDAGOGICA NACIONAL
FLB-LSP	MASTER'S	PHYSICAL SCIENCES & MATHEMATICS	Miami University	OXFORD	FEMALE		BACHELOR	QUIMICA	
ATG	Ph.D.	PHYSICAL SCIENCES & MATHEMATICS	Lehigh University	BETHELEHEM	MALE		BACHELOR	QUIMICA	UNIVERSIDAD DE ANTIOQUIA
JWF	MASTER'S	PHYSICAL SCIENCES & MATHEMATICS	University of Texas at Austin	AUSTIN	MALE		BACHELOR	QUIMICA	UNIVERSIDAD DEL VALLE
FLB-CLC	Ph.D.	PHYSICAL SCIENCES & MATHEMATICS	Brown University	PROVIDENCE	FEMALE		BACHELOR	QUIMICA	UNIVERSIDAD DE ANTIOQUIA
FLB-LSP	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Northeastern University	BOSTON	MALE	MEDELLIN	BACHELOR	QUIMICA	UNIVERSIDAD DE ANTIOQUIA
DU	Ph.D.	PHYSICAL SCIENCES & MATHEMATICS	Purdue University	WEST LAFAYETTE	FEMALE	BOGOTA D.C.	BACHELOR	QUIMICA	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	Ph.D.	PHYSICAL SCIENCES & MATHEMATICS	Illinois Institute of Technology	CHICAGO	MALE	BOGOTA D.C.	BACHELOR	QUIMICA	UNIVERSIDAD DE LOS ANDES
NSF	INV & DOC	EDUCATION	U.N.J.		MALE	BOGOTA D.C.	BACHELOR	QUIMICA	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	PHYSICAL SCIENCES & MATHEMATICS	SUNY at Buffalo	BUFFALO	MALE	BOGOTA D.C.	BACHELOR	QUIMICA	UNIVERSIDAD NACIONAL DE COLOMBIA
PAS	INV & DOC	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Pennsylvania State University	UNIVERSITY PARK	MALE	BOGOTA D.C.	BACHELOR	QUIMICA	UNIVERSIDAD NACIONAL DE COLOMBIA
PAS	INV & DOC	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of California, Berkeley	BERKELEY	FEMALE	BOGOTA D.C.	BACHELOR	QUIMICA	
FLB-LSP	MASTER'S	ENGINEERING & APPLIED SCIENCES	SUNY College of Environmental Science and Forestry	SYRACUSE	FEMALE	PEREIRA	BACHELOR	QUIMICA	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-ICX	Ph.D.	PHYSICAL SCIENCES & MATHEMATICS	University of Florida	GAINESVILLE	MALE	CALI	BACHELOR	QUIMICA	UNIVERSIDAD DEL VALLE
PAS	INV & DOC	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Iowa State University	AMES	MALE		BACHELOR	QUIMICA FARMACEUTICA	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-CLC	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	New York Medical College	VALHALLA	FEMALE		BACHELOR	QUIMICA FARMACEUTICA	UNIVERSIDAD DE CARTAGENA
FLB-LSP	MASTER'S	PHYSICAL SCIENCES & MATHEMATICS	The University of Tennessee - Knoxville	KNOXVILLE	FEMALE	CARTAGENA	BACHELOR	QUIMICA FARMACEUTICA	UNIVERSIDAD DE CARTAGENA
FLB-CLC	Ph.D.	PHYSICAL SCIENCES & MATHEMATICS	Michigan State University	EAST LANSING	MALE	CARTAGENA	BACHELOR	QUIMICA FARMACEUTICA	UNIVERSIDAD DE CARTAGENA
JWF	MASTER'S	PHYSICAL SCIENCES & MATHEMATICS	University of Northern Iowa	CEDAR FALLS	MALE	BOGOTA D.C.	BACHELOR	QUIMICA Y BIOLOGIA	UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC
PAS	INV & DOC	EDUCATION	Miami University	OXFORD	MALE	BOGOTA D.C.	BACHELOR	QUIMICA Y BIOLOGIA	UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC
FLB-LSP	MASTER'S	EDUCATION	Indiana State University	TERRE HAUTE	MALE		BACHELOR	SICIPEDAGOGIA	UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP
FLB-LSP	MASTER'S	HUMANITIES & SOCIAL SCIENCES	University of Iowa	IOWA CITY	FEMALE	PEREIRA	BACHELOR	SICOPEDAGOGIA Y AUDIOVISUAL	UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP
CALDAS	Ph.D.	HUMANITIES & SOCIAL SCIENCES	Rutgers, The State University of New Jersey	NEW BRUNSWICK	FEMALE	BOGOTA D.C.	BACHELOR	SOCIAL SCIENCES, OTHER	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	Ph.D.	EDUCATION	Harvard University	CAMBRIDGE	FEMALE	BOGOTA D.C.	BACHELOR	SOCIAL STUDIES	UNIVERSIDAD PEDAGOGICA NACIONAL
HHH	INV & DOC	HUMANITIES & SOCIAL SCIENCES	University of Minnesota Medical Center - Fairview	MINNEAPOLIS	FEMALE	BOGOTA	BACHELOR	SOCIAL WORK	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Indiana University Bloomington	BLOOMINGTON	FEMALE		BACHELOR	SOCIOLOGIA	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Rutgers, The State University of New Jersey	NEW BRUNSWICK	MALE		BACHELOR	SOCIOLOGIA	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Harvard University	CAMBRIDGE	FEMALE		BACHELOR	SOCIOLOGIA	UNIVERSIDAD NACIONAL DE COLOMBIA
ATG	MASTER'S	HUMANITIES & SOCIAL SCIENCES	SUNY Stony Brook	MANHATTAN	MALE		BACHELOR	SOCIOLOGIA	UNIVERSIDAD PONTIFICIA BOLIVARIANA
FLB-ICX	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Southern Illinois University Carbondale	CARBONDALE	FEMALE		BACHELOR	SOCIOLOGIA	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	University of Texas at Austin	AUSTIN	FEMALE		BACHELOR	SOCIOLOGIA	UNIVERSIDAD NACIONAL DE COLOMBIA
PAS	INV & DOC	EDUCATION	University of Delaware	NEWARK	MALE		BACHELOR	SOCIOLOGIA	PONTIFICIA UNIVERSIDAD JAVERIANA
ARTS	INV & DOC	ART & ARCHITECTURE	JOSE LIMON DANCE FOUNDATION	NEW YORK	MALE	BOGOTA D.C.	BACHELOR	SOCIOLOGIA	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-LSP	MASTER'S	HUMANITIES & SOCIAL SCIENCES	University of Maryland - College Park	COLLEGE PARK	MALE	BOGOTA D.C.	BACHELOR	SOCIOLOGIA	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	Ph.D.	HUMANITIES & SOCIAL SCIENCES	Virginia Polytechnic Institute and State University	BLACKSBURG	FEMALE	BOGOTA D.C.	BACHELOR	SOCIOLOGIA	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-LSP	MASTER'S	HUMANITIES & SOCIAL SCIENCES	University of Illinois at Urbana-Champaign	URBANA - CHAMPAIGN	MALE		BACHELOR	SOCIOLOGIA	UNIVERSIDAD PONTIFICIA BOLIVARIANA
PAS	INV & DOC	HUMANITIES & SOCIAL SCIENCES	The New School	NEW YORK	MALE	CALI	BACHELOR	SOCIOLOGIA	PONTIFICIA UNIVERSIDAD JAVERIANA
CLC- FLB	Ph.D.	HUMANITIES & SOCIAL SCIENCES	University of Pittsburgh - Main Campus	PITTSBURGH	MALE	BOGOTA	BACHELOR	SOCIOLOGY	UNIVERSIDAD NACIONAL DE COLOMBIA
PETRO	PH.D.	HUMANITIES & SOCIAL SCIENCES	Florida International University	MIAMI	MALE	CALI	BACHELOR	SOCIOLOGY	UNIVERSIDAD DEL VALLE
SIR	INV & DOC	HUMANITIES & SOCIAL SCIENCES	Lasell College	NEWTON	FEMALE	BOGOTA D.C.	BACHELOR	SOCIOLOGY	PONTIFICIA UNIVERSIDAD JAVERIANA
CALDAS	Ph.D.	HUMANITIES & SOCIAL SCIENCES			MALE	BOGOTA D.C.	MASTER'S	SOCIOLOGY	UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD
LID	PH.D.	HUMANITIES & SOCIAL SCIENCES	Georgetown University	WASHINGTON D.C	FEMALE	BOGOTA	BACHELOR	SPANISH LANGUAGE AND LITERATURE	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	New York University	NEW YORK	MALE	BOGOTA	BACHELOR	SPANISH LANGUAGE AND LITERATURE	PONTIFICIA UNIVERSIDAD JAVERIANA
CLC- FLB	PH.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Pittsburgh - Main Campus		FEMALE	BOGOTA	BACHELOR	SPEECH AND LANGUAGE PATH	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC- FLB	PH.D.	PHYSICAL SCIENCES & MATHEMATICS	Virginia Commonwealth University		FEMALE	BOGOTA	BACHELOR	STATISTICS	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	PHYSICAL SCIENCES & MATHEMATICS	University of Wyoming	LARAMIE	MALE		BACHELOR	STATISTICS	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC- FLB	PH.D.	ENGINEERING & APPLIED SCIENCES	University of Florida	GAINESVILLE	MALE	BARRANQUILLA	BACHELOR	SYSTEMS ENGINEERING	UNIVERSIDAD DEL NORTE
CLC- FLB	PH.D.	ENGINEERING & APPLIED SCIENCES	University of California, Riverside	RIVERSIDE	MALE	PASTO	BACHELOR	SYSTEMS ENGINERING	UNIVERSIDAD DE NARIÑO
FLTA	INV & DOC	EDUCATION	Lincoln University	LINCOLN UNIVERSITY	FEMALE	BOGOTA	BACHELOR	TEACHING ENGLISH AS A SECOND OR FOREIGN LANGUAGE/ESL LANGUAGE INSTRUCTOR	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	PH.D.	EDUCATION	Washington State University	PULLMAN	FEMALE	TUNJA	BACHELOR	TEACHING ENGLISH AS A SECOND OR FOREIGN LANGUAGE/ESL LANGUAGE INSTRUCTOR	UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC
REG	PH.D.	EDUCATION	Purdue University	WEST LAFAYETTE	MALE	BARRANQUILLA	BACHELOR	TEACHING ENGLISH AS A SECOND OR FOREIGN LANGUAGE/ESL LANGUAGE INSTRUCTOR	UNIVERSIDAD POPULAR DEL CESAR
FLTA	INV & DOC	EDUCATION	Bard College	ANNANDALE-ON-HUNDSON	MALE	BOGOTA	BACHELOR	TEACHING ENGLISH AS A SECOND OR FOREIGN LANGUAGE/ESL LANGUAGE INSTRUCTOR	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	PH.D.	EDUCATION	University of Arizona	TUCSON	MALE	NEIVA	BACHELOR	TEACHING ENGLISH AS A SECOND OR FOREIGN LANGUAGE/ESL LANGUAGE INSTRUCTOR	UNIVERSIDAD SURCOLOMBIANA
LID	MASTER'S	EDUCATION	Southern Illinois University Carbondale	CARBONDALE	MALE	MEDELLIN	BACHELOR	TEACHING ENGLISH OR FRENCH AS A SECOND OR FOREIGN LANGUAGE, OTHER	UNIVERSIDAD TECNOLOGICA DE BOLIVAR
DU	PH.D.	EDUCATION	Southern Illinois University Carbondale	CARBONDALE	FEMALE	BOGOTA	BACHELOR	TEACHING ENGLISH OR FRENCH AS A SECOND OR FOREIGN LANGUAGE, OTHER	UNIVERSIDAD PEDAGOGICA NACIONAL
FLTA	INV & DOC	EDUCATION	Gardner-Webb University	BOILING SPRINGS	FEMALE	MANIZALES	BACHELOR	TEACHING ENGLISH OR FRENCH AS A SECOND OR FOREIGN LANGUAGE, OTHER	UNIVERSIDAD DEL ATLANTICO
JWF	INV & DOC	ART & ARCHITECTURE	PLAYWRIGHT HORIZONS	NEW YORK	MALE	MEDELLIN	BACHELOR	TEATRO	UNIVERSIDAD DE ANTIOQUIA
JWF	MASTER'S	ART & ARCHITECTURE	City College of New York of the City University of New York, The	BROOKLYN	MALE	MEDELLIN	BACHELOR	TEATRO	UNIVERSIDAD DE ANTIOQUIA
PETRO	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Massachusetts Amherst	AMHERST	MALE	SABANETA	BACHELOR	TELECOMMUNICATIONS ENGINEERING	UNIVERSIDAD PONTIFICIA BOLIVARIANA
PETRO	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	University of Minnesota Medical Center - Fairview	MINNEAPOLIS	MALE	MEDELLIN	BACHELOR	TELECOMMUNICATIONS TECHNOLOGY	UNIVERSIDAD DE MEDELLIN
JWF	MASTER'S	EDUCATION	Virginia Polytechnic Institute and State University	BLACKSBURG	FEMALE		BACHELOR	TERAPIA FISICA	UNIVERSIDAD NACIONAL DE COLOMBIA
CIP	INV & DOC	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	UNIVERSITY OF MINNESOTA - TWIN CITIES	TWIN CITIES	FEMALE		BACHELOR	TERAPIA OCUPACIONAL	COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO
ATG	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Columbia University in the City of New York	NEW YORK	FEMALE		BACHELOR	TRABAJO SOCIAL	UNIVERSIDAD PONTIFICIA BOLIVARIANA
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Washington University in St Louis	SAINT LOUIS	MALE		BACHELOR	TRABAJO SOCIAL	UNIVERSIDAD INDUSTRIAL DE SANTANDER
CIP	INV & DOC	HUMANITIES & SOCIAL SCIENCES	Ohio State University		MALE		BACHELOR	TRABAJO SOCIAL	UNIVERSIDAD PONTIFICIA BOLIVARIANA
CIP	INV & DOC	HUMANITIES & SOCIAL SCIENCES	Loyola University of Chicago	CHICAGO	FEMALE		BACHELOR	TRABAJO SOCIAL	UNIVERSIDAD NACIONAL DE COLOMBIA
CIP	INV & DOC	HUMANITIES & SOCIAL SCIENCES	Temple University	PHILADELPHIA	FEMALE		BACHELOR	TRABAJO SOCIAL	UNIVERSIDAD NACIONAL DE COLOMBIA
CIP	INV & DOC	HUMANITIES & SOCIAL SCIENCES	Ohio State University	COLUMBUS	FEMALE		BACHELOR	TRABAJO SOCIAL	UNIVERSIDAD PEDAGOGICA NACIONAL
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Boston College	CHESNUT HILL	FEMALE		BACHELOR	TRABAJO SOCIAL	UNIVERSIDAD PONTIFICIA BOLIVARIANA
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Fordham University	NEW YORK	FEMALE	MEDELLIN	BACHELOR	TRABAJO SOCIAL	UNIVERSIDAD PONTIFICIA BOLIVARIANA
HHH	INV & DOC	HUMANITIES & SOCIAL SCIENCES	University of Maryland - College Park	COLLEGE PARK	FEMALE	MEDELLIN	BACHELOR	TRABAJO SOCIAL	UNIVERSIDAD PONTIFICIA BOLIVARIANA
JWF	MASTER'S	EDUCATION	University of Texas at Austin	AUSTIN	FEMALE		BACHELOR	TRADUCCION SIMULTANEA	COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO
JWF	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Clemson University	CLEMSON	MALE		BACHELOR	VETERINARIA	UNIVERSIDAD DEL TOLIMA
JWF	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Virginia Polytechnic Institute and State University	BLACKSBURG	FEMALE		BACHELOR	VETERINARIA	UNIVERSIDAD DE ANTIOQUIA
FLB-CLC	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Texas A&M University	COLLEGE STATION	FEMALE	MEDELLIN	BACHELOR	VETERINARIA	UNIVERSIDAD DE ANTIOQUIA
CLC-DNP	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Arkansas, Fayetteville	FAYETTEVILLE	MALE	VILLAVICENCIO	BACHELOR	VETERINARIA	UNIVERSIDAD DE LOS LLANOS
FLB-CLC	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Missouri - Columbia	COLUMBIA	MALE	MANIZALES	BACHELOR	VETERINARIA Y ZOOTECNIA	UNIVERSIDAD DE CALDAS
CLC- FLB	PH.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of California - Davis	DAVIS	MALE	VILLAVICENCIO	BACHELOR	VETERINARY MEDICINE AND ANIMAL SCIENCE	UNIVERSIDAD DE LOS LLANOS
ARTS	MASTER'S	ART & ARCHITECTURE	School of the Art Institute of Chicago	CHICAGO	MALE	BOGOTA	BACHELOR	VISUAL AND PERFORMING ARTS, GENERAL	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
DU	MASTER'S	ART & ARCHITECTURE	SUNY at Buffalo	BUFFALO	MALE	BOGOTA	BACHELOR	VISUAL AND PERFORMING ARTS, GENERAL	PONTIFICIA UNIVERSIDAD JAVERIANA
ARTS	MASTER'S	ART & ARCHITECTURE	The New School	NEW YORK	MALE	CARTAGENA	BACHELOR	VISUAL AND PERFORMING ARTS, GENERAL	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
ARTS	MASTER'S	ART & ARCHITECTURE	Otis College of Art and Design	SAN FRANCISCO	MALE	BOGOTA	BACHELOR	VISUAL AND PERFORMING ARTS, OTHER	UNIVERSIDAD NACIONAL DE COLOMBIA
ARTS	MASTER'S	ART & ARCHITECTURE	The New School		FEMALE	BOGOTA	BACHELOR	VISUAL ARTS	PONTIFICIA UNIVERSIDAD JAVERIANA
CLC- FLB	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	North Dakota State University - Main Campus	FARGO	MALE	BOGOTA	BACHELOR	ZOOLOGY/ANIMAL BIOLOGY, OTHER	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	North Dakota State University - Main Campus	FARGO	MALE		BACHELOR	ZOOTECNIA	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC-DNP	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	North Carolina State University	RALEIGH	MALE	MEDELLIN	BACHELOR	ZOOTECNIA	UNIVERSIDAD DE LA SALLE
CLC-DNP	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	UNIVERSITY OF MINNESOTA - TWIN CITIES	TWIN CITIES	FEMALE	BOGOTA D.C.	BACHELOR	ZOOTECNIA	UNIVERSIDAD DE LA SABANA
CLC-DNP	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Ohio State University	COLUMBUS	MALE	BOGOTA D.C.	BACHELOR	ZOOTECNIA - ECONOMIA	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-LSP	MASTER'S	EDUCATION	University of Kansas	LAWRENCE	FEMALE	ARMENIA			
FLB-LSP	Ph.D.	HUMANITIES & SOCIAL SCIENCES	Arizona State University	TEMPE	MALE	ARMENIA			
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Fordham University	NEW YORK	FEMALE				
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Massachusetts Institute of Technology	CAMBRIDGE	MALE				
JWF	MASTER'S	EDUCATION	Miami University	OXFORD	FEMALE				
JWF	MASTER'S	ART & ARCHITECTURE	Skidmore College	SARAGOTA SPRINGS	FEMALE				
JWF	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Tulane University	NEW ORLEANS	MALE				
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	University of Arizona	TUCSON	FEMALE				
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Illinois at Urbana-Champaign	URBANA - CHAMPAIGN	MALE				
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Illinois at Urbana-Champaign	URBANA - CHAMPAIGN	MALE				
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Illinois at Urbana-Champaign	URBANA - CHAMPAIGN	MALE				
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Illinois at Urbana-Champaign	URBANA - CHAMPAIGN	MALE				
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Illinois at Urbana-Champaign	URBANA - CHAMPAIGN	MALE				
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	University of Wisconsin - Madison	MADISON	MALE				
JWF	MASTER'S	LAW	INTERAMERICAN LAW INSTITUTE	SAN JUAN	MALE				
JWF	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	Arizona State University	TEMPE	MALE				
JWF	MASTER'S	EDUCATION	Columbia University in the City of New York	NEW YORK	FEMALE				
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Cornell University	ITHACA	FEMALE				
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Georgetown University	WASHINGTON D.C	MALE				
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Georgia Institute of Technology - Main Campus	ATLANTA	MALE				
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Georgia Institute of Technology - Main Campus	ATLANTA	MALE				
JWF	MASTER'S	EDUCATION	Lawrence University	APPLETON	MALE				
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	New York University	NEW YORK	MALE				
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Ohio State University	COLUMBUS	FEMALE				
JWF	MASTER'S	EDUCATION	Skidmore College	SARAGOTA SPRINGS	FEMALE				
JWF	MASTER'S	EDUCATION	SUNY College of Environmental Science and Forestry	BROCKPORT	MALE				
JWF	MASTER'S	EDUCATION	University of Delaware	NEWARK	FEMALE				
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Texas at Austin	AUSTIN	MALE				
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Vanderbilt University	NASHVILLE	MALE				
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Skidmore College	SARAGOTA SPRINGS	FEMALE				
JWF	MASTER'S	EDUCATION	Fordham University	NEW YORK	FEMALE				
