ABBREV.	DEGREE	GENERAL_ACADEMIC_AREA	US_UNIVERSITY	US_CITY	GENDER	COLOMBIAN_CITY	PREVIOUS_DEGREE	FIELD _OF_STUDY	COLOMBIAN_UNIVERSITY
CALDAS	Ph.D.	ENGINEERING & APPLIED SCIENCES	SUNY at Buffalo	BUFFALO	MALE	BOGOTA D.C.	BACHELOR	CIVIL ENGINEERING	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
REG	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES			MALE	MANIZALES	BACHELOR	INGENIERIA AGRONOMICA	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	Ph.D.	HUMANITIES & SOCIAL SCIENCES			FEMALE	MANIZALES	BACHELOR	COMUNICACION SOCIAL	UNIVERSIDAD DE MANIZALES
JWF	Ph.D.	HUMANITIES & SOCIAL SCIENCES			MALE	BOGOTA D.C.	BACHELOR	ECONOMIA	UNIVERSIDAD DE LOS ANDES
CLC-DNP	Ph.D.	ENGINEERING & APPLIED SCIENCES			MALE	BOGOTA D.C.	BACHELOR	INGENIERIA SISTEMAS Y COMPUTACION	UNIVERSIDAD DE LOS ANDES
CALDAS	Ph.D.	ENGINEERING & APPLIED SCIENCES	University of New Mexico	ALBUQUERQUE	MALE	CALI	BACHELOR	ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING	UNIVERSIDAD DEL CAUCA
CALDAS	Ph.D.	EDUCATION	University of California, Santa Barbara	SANTA BARBARA	FEMALE	CALI	BACHELOR	EDUCATION/TEACHING OF INDIVIDUALS WITH SPEECH OR LANGUAGE IMPAIRMENTS	UNIVERSIDAD DEL VALLE
DU	MASTER'S	HUMANITIES & SOCIAL SCIENCES	University of Cincinnati	CINCINNATI	FEMALE	BOGOTA D.C.	BACHELOR	INDUSTRIAL DESIGN	PONTIFICIA UNIVERSIDAD JAVERIANA
CALDAS	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Oregon State University		FEMALE	MEDELLIN	BACHELOR	BIOLOGY/BIOLOGICAL SCIENCES, GENERAL	UNIVERSIDAD DE ANTIOQUIA
SRM	MASTER'S	LAW	Georgetown University	WASHINGTON D.C	FEMALE	MEDELLIN	BACHELOR	LEGAL STUDIES, GENERAL	UNIVERSIDAD PONTIFICIA BOLIVARIANA
SRM	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	Boston College	BOSTON	MALE	MEDELLIN	BACHELOR	ENGINEERING/INDUSTRIAL MANAGEMENT	UNIVERSIDAD NACIONAL DE COLOMBIA
SRM	MASTER'S	ENGINEERING & APPLIED SCIENCES	Ohio State University	COLUMBUS	MALE	MEDELLIN	BACHELOR	INDUSTRIAL ENGINEERING	UNIVERSIDAD EAFIT-
LID	MASTER'S	LAW			MALE	SANTANDER DE QUILICHAO	BACHELOR	ADMINISTRACION AERONAUTICA	ESCUELA MILITAR DE AVIACION MARCO FIDEL SUAREZ
ARTS	MASTER'S	ART & ARCHITECTURE			MALE	BOGOTA D.C.	BACHELOR	COMUNICACION SOCIAL. ENFASIS EN TELEVISION EDUCATIVA	PONTIFICIA UNIVERSIDAD JAVERIANA
CLC-DNP	Ph.D.	HUMANITIES & SOCIAL SCIENCES			FEMALE	BOGOTA D.C.	BACHELOR	ECONOMIA	UNIVERSIDAD DE LOS ANDES
ARTS	INV & DOC	ART & ARCHITECTURE			FEMALE	BOGOTA D.C.	BACHELOR	INGENIERIA INDUSTRIAL	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
TEP	INV & DOC	EDUCATION	WOODSTOCK ACADEMY	WOODSTOCK			BACHELOR	INGLES	UNIVERSIDAD DE ANTIOQUIA
CALDAS	Ph.D.	HUMANITIES & SOCIAL SCIENCES			FEMALE	BOGOTA D.C.			
SRM	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	Emory University	ATLANTA	MALE	MEDELLIN	BACHELOR	INGENIERIA ADMINISTRATIVA	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
SRM	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	Illinois Institute of Technology	CHICAGO	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA ADMINISTRATIVA	UNIVERSIDAD NACIONAL DE COLOMBIA
CALDAS	Ph.D.	ENGINEERING & APPLIED SCIENCES	Oklahoma State University	STILLWATER	FEMALE	BOGOTA D.C.	BACHELOR	INDUSTRIAL ENGINEERING	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
CALDAS	Ph.D.	ENGINEERING & APPLIED SCIENCES	George Mason University	FAIRFAX	MALE	BARRANQUILLA	BACHELOR	COMPUTER PROGRAMMING/PROGRAMMER, GENERAL	UNIVERSIDAD DEL NORTE
REG	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Purdue University	WEST LAFAYETTE	MALE	MANIZALES	BACHELOR	BIOLOGIA	UNIVERSIDAD INDUSTRIAL DE SANTANDER
CALDAS	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Duke University	DURHAM	FEMALE	CUMARAL	BACHELOR	NATURAL RESOURCES AND CONSERVATION, OTHER	PONTIFICIA UNIVERSIDAD JAVERIANA
CALDAS	Ph.D.	ENGINEERING & APPLIED SCIENCES	University of Illinois at Urbana-Champaign	URBANA - CHAMPAIGN	MALE	CALI	BACHELOR	CIVIL ENGINEERING	UNIVERSIDAD DEL VALLE
CERR	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	Temple University	PHILADELPHIA	FEMALE	RIOHACHA	BACHELOR	FINANCE AND FINANCIAL MANAGEMENT SERVICES, OTHER	COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO
CALDAS	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Yeshiva University		MALE	BOGOTA D.C.	BACHELOR	BIOLOGY/BIOLOGICAL SCIENCES, GENERAL	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC-DNP	Ph.D.	HUMANITIES & SOCIAL SCIENCES	Ohio State University	COLUMBUS	MALE	BOGOTA D.C.	BACHELOR	ECONOMIA	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC-DNP	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Brigham Young University	PROVO	FEMALE	MEDELLIN	BACHELOR	MEDICINA	UNIVERSIDAD CES
LID	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Portland State University	PORTLAND	FEMALE	CALI	BACHELOR	TRABAJO SOCIAL	UNIVERSIDAD DEL VALLE
CALDAS	Ph.D.	ENGINEERING & APPLIED SCIENCES	University of Delaware	NEWARK	MALE	BOGOTA D.C.	BACHELOR	CIVIL ENGINEERING	UNIVERSIDAD MILITAR-NUEVA GRANADA
LID	Ph.D.	HUMANITIES & SOCIAL SCIENCES	University of Miami	CORAL GABLES	FEMALE	SAN ANDRES	BACHELOR	STATISTICS, GENERAL	UNIVERSIDAD DE MEDELLIN
LID	Ph.D.	HUMANITIES & SOCIAL SCIENCES	Florida State University	TALLAHASSEE	FEMALE	TUMACO	BACHELOR	ECONOMICS, GENERAL	UNIVERSIDAD DEL VALLE
EST. CUL	MASTER'S	ART & ARCHITECTURE	University of Illinois at Chicago	CHICAGO	FEMALE	BOGOTA D.C.	BACHELOR	FINE ARTS AND ART STUDIES, OTHER	UNIVERSIDAD NACIONAL DE COLOMBIA
CALDAS	Ph.D.	PHYSICAL SCIENCES & MATHEMATICS	Columbia University in the City of New York	NEW YORK	MALE	BOGOTA D.C.	BACHELOR	PHYSICAL SCIENCES	UNIVERSIDAD NACIONAL DE COLOMBIA
LID	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Cornell University	ITHACA	MALE	SAN ANDRES	BACHELOR	RELACIONES INTERNACIONALES	COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO
CALDAS	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Pennsylvania State University	WEST LAFAYETTE	FEMALE	BOGOTA D.C.	BACHELOR	ENTOMOLOGY	UNIVERSIDAD NACIONAL DE COLOMBIA
EST. CUL	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Southern Illinois University Carbondale	CARBONDALE	MALE	MANIZALES	BACHELOR	PHILOSOPHY, OTHER	UNIVERSIDAD DE CALDAS
REG	MASTER'S	EDUCATION	Indiana University Bloomington	BLOOMINGTON	FEMALE	MONTERIA	BACHELOR	ENGLISH/LANGUAGE ARTS TEACHER EDUCATION	UNIVERSIDAD DE CORDOBA
CLC-DNP	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Southern Illinois University Carbondale	CARBONDALE	FEMALE	BOGOTA D.C.	BACHELOR	BACTERIOLOGIA	PONTIFICIA UNIVERSIDAD JAVERIANA
CLC-DNP	MASTER'S	HUMANITIES & SOCIAL SCIENCES	University of Arkansas, Fayetteville	FAYETTEVILLE	FEMALE	BOGOTA D.C.	BACHELOR	FINANZAS, GOBIERNO Y RELACIONES INTERNACIONALES	UNIVERSIDAD EXTERNADO DE COLOMBIA
SALD. CON	MASTER'S	HUMANITIES & SOCIAL SCIENCES	University of Florida	GAINESVILLE	FEMALE	BOGOTA D.C.	BACHELOR	ENGLISH LANGUAGE AND LITERATURE/LETTERS, OTHER	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	LAW	Columbia University in the City of New York	NEW YORK	FEMALE	BOGOTA D.C.	BACHELOR	LAW (LL.B., J.D.)	UNIVERSIDAD DE LOS ANDES
CALDAS	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Pennsylvania State University	STATE COLLEGE	MALE	BOGOTA D.C.	BACHELOR	BIOLOGY/BIOLOGICAL SCIENCES, GENERAL	UNIVERSIDAD NACIONAL DE COLOMBIA
CALDAS	Ph.D.	ENGINEERING & APPLIED SCIENCES	Washington State University	PULLMAN	MALE	ITAGUI	BACHELOR	ENGINEERING, OTHER	UNIVERSIDAD NACIONAL DE COLOMBIA
CALDAS	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Southern Illinois University Carbondale	CARBONDALE	MALE	CALI	BACHELOR	AQUATIC BIOLOGY/LIMNOLOGY	UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA
